Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
ERR1473141	0.00462757070322312	0.0156464790804698	0	0.0935699491490231	0.886156001067284	9999	0.690566544417548	0.782031007464262
ERR1473142	0.0520729578103837	0.0443576751955542	0	0.0393055873641448	0.864263779629917	9999	0.64082047437126	0.833600951618899
ERR1473143	0.0404035091156009	0.0452995379722442	0	0.040153124411381	0.874143828500774	9999	0.647266659652829	0.828234045247474
ERR1473144	0.774481887017938	0	0.00723171092306309	0.0390468766953295	0.17923952536367	9999	0.427770411967566	1.0062142503799
ERR1473145	0.0107942336244158	0.0632711156096544	0	0.0688777386799289	0.857056912086001	9999	0.631520129161669	0.845348104914341
ERR1473146	0.100754114370151	0.0710863578992218	0	0	0.828159527730628	9999	0.603964073859345	0.865634361327571
ERR1473147	0.114454093970006	0.017305751169217	0	0.041057844418588	0.827182310442188	9999	0.634298854314163	0.833942620104928
ERR1473148	0.276083862292354	0.0311672143964625	0	0.038022381280468	0.654726542030715	9999	0.682416184394052	0.755965544661879
ERR1473149	0.0986946358320033	0.0632716276063361	0	0.0513954570360207	0.78663827952564	9999	0.613930300054724	0.849708021731682
ERR1473150	0	0.0665083598199397	0	0.0619929309885543	0.871498709191506	9999	0.717734062828293	0.742367375178524
ERR1473151	0.441558483936397	0.0266756344957744	0.0034406371045981	0.0662011254927789	0.462124118970452	9999	0.52677955056462	0.903066793339616
ERR1473152	0.408626789341032	0.0145774380676933	0.00619492380777066	0.053413059840264	0.51718778894324	9999	0.521927976184069	0.911326478141284
ERR1473153	0.47135685647285	0.0102301420867475	0.00120846911914291	0.0434589434174895	0.47374558890377	9999	0.573900463374509	0.8611252880788
ERR1473154	0.352883570445621	0	0	0.0884951392366212	0.558621290317758	9999	0.523906493497695	0.913413870683441
ERR1473155	0.409122760663774	0.0183827811547652	0.00677029086746032	0.0571478163573348	0.508576350956666	9999	0.550079944841582	0.88404013211133
ERR1473156	0.546120331887288	0.0101318078097991	0.0183765320578534	0.0505717591950889	0.374799569049971	9999	0.508102269873582	0.919570324485826
ERR1473157	0.474381784907308	0.0166898725209593	0.00898810736796631	0.0507306769858937	0.449209558217873	9999	0.524484158980273	0.905735309491706
ERR1473158	0.486663754436355	0.00871225806249742	0.0203775667622493	0.0523298345064615	0.431916586232436	9999	0.493801402516954	0.932764685592852
ERR1473159	0.365418328090736	0.0461246997601783	0	0.0584032908900287	0.530053681259057	9999	0.558895690499668	0.87556374976724
ERR1473160	0.393061937526147	0.0287896966995341	0	0.0689462867650547	0.509202079009264	9999	0.503842982558027	0.926422217745979
ERR1473161	0.396139875982743	0.00805607842243064	0.00707414228269582	0.0563469786097198	0.532382924702411	9999	0.566239508781655	0.870565934220016
ERR1473162	0.623183743602175	0.0228642113895266	0.0191475424286774	0.0389165313033068	0.295887971276314	9999	0.502399922172184	0.92582875410117
ERR1473163	0.602047333050295	0	0.0135895744368006	0.0582466762322397	0.326116416280665	9999	0.552779428267393	0.880046541479904
ERR1473164	0.722907930892482	0.00429838122625789	0.0968021843026941	0.0652578889794559	0.11073361459911	9999	0.463650234532406	0.964498041327432
